keys,en,cs_CZ,de_DE,fi_FI,es_ES,fr_FR,pl_PL,pt_PT,se_SE,eo,du_NL,ro_RO,it_IT
CRSR_RIGHT_TURN_RIGHT,CRSR Right - turn right,Šipka vpravo – zatočit vpravo,Pfeil rechts - nach rechts steuern,Oikea nuolinäppäin tai D - Käänny oikealle,Derecha - girar a la derecha,CURSEUR Droite - tourne à droite,STRZAŁKA w prawo - skręt w prawo,SETA Direita - virar à direita,Högermarkör - sväng höger,Sago dekstren - turnu dekstren,Pijl Rechts - draar rechts,Tasta dreapta - vireaza la dreapta,CURSORE Destra - gira a destra
CRSR_UP_ACCELERATE,CRSR Up - accelerate,Šipka nahoru – zrychlit,Pfeil oben - beschleunigen,Ylös nuolinäppäin tai W - Kiihdytä,Arriba - acelerar,CURSEUR Haut - accélère,STRZAŁKA w górę - przyśpieszanie,SETA Cima - acelerar,Uppmarkör - accelerera,Sago suprem - plirapidiĝu,Pijl Omhoog - versnel,Tasta sus - accelereaza,CURSORE Alto - accelerare
CRSR_DOWN_BRAKE,CRSR down - brake,Šipka dolů – brzdit,Pfeil unten - bremsen,Alas nuolinäppäin tai S - Jarruta,Abajo - frenar,CURSEUR Bas - freiner,STRZAŁKA w dół - hamowanie,SETA Baixo - travar,Nedmarkör - bromsa,Sago malsupren - bremsiĝu,Pijl Beneden - rem,Tasta jos - franeaza,CURSORE Basso - freno
KEYBOARD_FUNCTIONS,Keyboard Functions,Funkce klávesnice,Tastatur-Befehle,Näppäinkomennot,Funciones de las teclas,Fonctions clavier,Klawisze Funkcyjne,Funções das Teclas,Tangentbordsfunktioner,Funkcioj de klavaro,Toetsenbordfuncties,Functii taste,Funzioni della tastiera
SELECT_YOUR_PLAYER_NAME,Select your player name:,Vyberte jméno hráče:,Wähle deinen Spieler-Namen:,Valitse pelaajanimesi:,Selecciona tu nombre de jugador:,Sélectionnez un nom d'utilisateur :,,Seleciona o teu nome de jogador:,Välj ditt spelarnamn:,Elektu nomon de via ludanto:,Selecteer je spelersnaam:,Selecteaza numele jucatorului:,Seleziona il tuo nome utente:
SELECT_A_CHARACTER,Select a character:,Vyberte postavu:,Wähle einen Charakter:,Valitse hahmo:,Selecciona un personaje:,Sélectionnez un personnage :,,Seleciona uma personagem:,Välj en personlighet:,Elektu rolulon:,Selecteer een karakter,Selecteaza un personaj:,Seleziona un personaggio:
ENTER,Enter,Vstoupit,Weiter,Siirry eteenpäin,Entrar,Entrée,,Entrar,Anmäl,Enigu,Verder,Inainte,Invio
REGISTER_A_NEW_PLAYER,Register a new player,Zapsat nového závodníka,Neuen Spieler registrieren,Tee uusi pelaaja,Registrar nuevo jugador,Enregistrer un nouveau joueur,,Registar novo jogador,Registrera en ny spelare,Registru novan ludanton,Registreer een nieuwe speler,Inregistrare jucator,Registrare un nuovo giocatore
HIGHSCORE_LIST,Highscore list,Nejlepší výsledky,Punkteliste,Huipputuloslista,Mejores puntuaciones,Liste des meilleur scores,,Lista de recordes,Topplista,Plejbona poentaro,Hogescorelijst,Cele mai mari scoruri,Lista dei punteggi migliori
NO_ENTRIES_FOR_THIS_RACE,No entries for this race,Pro tento závod nejsou k dispozici žádné položky,Keine Einträge für dieses Rennen.,Ei tuloksia tästä kisasta,No hay resultados para esta carrera,Pas d'entrée pour cette course,,Sem entradas para esta corrida,Inga poster för denna tävling,Neniu ero por tiu ĉi konkurso,Geen toegang voor deze race,Niciun scor pentru aceasta cursa,Nessuna iscrizione per questa gara
BACK_2,Back,Zpět,Zurück,Takaisin,Atrás,Retour,,Voltar,Tillbaka,Reen,Terug,Inapoi,Indietro
PRESS_ANY_KEY_TO_RETURN_TO_THE_MAIN_MENU,Press any key to return to the main menu,Stiskem libovolné klávesy se vraťte do hlavní nabídky,"Beliebige Taste drücken, um ins Hauptmenü zurückzukehren.",Paina mitä hyvänsä näppäintä palataksesi päävalikkoon,Pulsa cualquier tecla para volver al menú principal,Appuyez sur une touche pour retourner au menu principal,,Prime qualquer tecla para voltar ao menu inicial,Tryck på valfri tangent för att återgå till huvudmenyn,Premu iun ajn klavon por reveni al la ĉef-menuo,Druk een toets om terug te keren naar het hoofdmenu,Apasa orice tasta pentru a te intoarce la meniul principal.,Premere un tasto qualsiasi per tornare al menu principale
ENTER_A_NAME_FOR_THE_NEW_PLAYER_AND_SELECT_AN_AV,Enter a name for the new player and select an avatar:,"Zadejte jméno nového hráče a vyberte postavu, která ho bude představovat",Gib den Namen des Spielers ein und wähle ein Avatar:,Anna pelaajan nimi ja valitse kuva,Introduce el nombre del nuevo jugador y elige una imagen para mostrar:,Entrez un nom d'utilisateur et sélectionnez un avatar :,,Introduz um nome para o novo jogador e seleciona um avatar:,Ange ett namn för den nya spelaren och välj en avatar:,Enigu nomon por la nova ludanto kaj elektu la rolulon:,Voer een naam in voor de nieuwe speler en selecteer een avatar,Introdu un nume pentru noul jucator si selecteaza un avatar:,Inserisci un nome utente per il nuovo giocatore e seleziona un avatar:
LOADING_RESOURCES,"Loading resources,","Načítání dat,","Ressourcen werden geladen,","Ladataan materiaaleja,","Cargando recursos,","Chargement des ressources,",,"A carregar recursos,","Läser in resurser,","Ŝargante resursojn,","Bezig met bronnen te laden,","Incarcare resurse,","Caricamento risorse,"
PLEASE_WAIT_2,please wait,čekejte,bitte warten...,odota hetki ...,"por favor, espera",veuillez patienter ...,,"por favor, aguarda",vänligen vänta...,bonvolu atendi...,wacht ajb,te rog asteapta...,per favore aspetta ...
MIRROR_TRACK_OFF,Mirror track: Off,Zrcadlová trať: ne,Abfahrt nicht gespiegelt,Peilaa rata: Ei päällä,Circuito invertido: no,Piste miroir : désactiver,,Espelhar pista: não,Spegla spår: av,Spegula trako: Ne,Spiegel traject: uit,Normal,Traccia speculare: disattivare
MIRROR_TRACK_ON,Mirror track: On,Zrcadlová trať: ano,Abfahrt gespiegelt,Peilaa rata: Päällä,Circuito invertido: sí,Piste miroir : activer,,Espelhar pista: sim,Spegla spår: på,Spegula trako: Jes,Spiegel traject: aan,In oglinda,Traccia speculare: attivare
LIGHT_SUNNY,Light: Sunny,Slunečno,Wetter: Sonnig,Valoisuus: Aurinkoista,Soleado,Lumière : ensoleillé,,Luz: soalheiro,Ljus: Soligt,Lumo: Suna,Licht: zonnig,Insorit,Luce: soleggiato
LIGHT_CLOUDY,Light: Cloudy,Zataženo,Wetter: Bewölkt,Valoisuus: Pilvistä,Nublado,Lumière : nuageux,,Luz: nublado,Ljus: Molnigt,Lumo: Nuba,Licht: bewolkt,Innorat,Luce: nuvoloso
LIGHT_EVENING,Light: Evening,Večer,Wetter: Abend,Valoisuus: Ilta,Tarde,Lumière : soirée,,Luz: tardinha,Ljus: Kväll,Lumo: Vespero,Licht: avond,Seara,Luce: sera
LIGHT_NIGHT,Light: Night,Noc,Wetter: Nacht,Valoisuus: Yö,Noche,Lumière : nuit,,Luz: noite,Ljus: Natt,Lumo: Nokto,Licht: nacht,Noapte,Luce: notte
SNOW_NO,Snow: No,Sníh: žádný,Schneefall: Keiner,Lumisade: Ei ollenkaan,No,Neige : aucune,,Neve: não,Snö: Nej,Neĝo: Ne,Sneeuw: Nee,Ninsoare: Nu,Neve: nessuna
SNOW_A_LITTLE,Snow: A little,Sníh: trochu,Schneefall: Wenig,Lumisade: Vähän,Un poco,Neige : un brin,,Neve: poucochinha,Snö: Lite,Neĝo: Iomete,Sneeuw: Weinig,Ninsoare: Putina,Neve: un tocco
SNOW_SOME,Snow: Some,Sníh: trochu více,Schneefall: Etwas,Lumisade: Jonkin verran,basante,Neige : un peu,,Neve: alguma,Snö: En hel del,Neĝo: Iom,Sneeuw: Wat,Ninsoare: Destula,Neve: un po'
SNOW_A_LOT,Snow: A lot,Sníh: hodně,Schneefall: Viel,Lumisade: Paljon,Mucha,Neige : beaucoup,,Neve: bastante,Snö: Mycket,Neĝo: Multe,sneeuw: Veel,Ninsoare: Multa,Neve: molto
WIND_NO,Wind: No,Vítr: žádný,Windstille,Tuuli: Ei ollenkaan,No,Vent : aucun,,Vento: não,Vind: Nej,Vento: Ne,Wind: Nee,Fara vant,Vento: nessuno
WIND_BREEZE,Wind: Breeze,Vítr: vánek,Leichte Brise,Tuuli: Vire,Brisa,Vent : brise,,Vento: brisa,Vins: Lätt,Vento: Brizo,Wind: Bries,Briza,Vento: brezza
WIND_STRONG,Wind: Strong,Vítr: silný,Starker Wind,Tuuli: Vahva,Fuerte,Vent : fort,,Vento: forte,Vind: Stark,Vento: Forta,Wind: Sterk,Vant puternic,Vento: forte
WIND_BLUSTERY,Wind: Blustery,Vítr: vichřice,Sturm,Tuuli: Puuskainen,Borrasca,Vent : tempête,,Vento: Ericeira (ventania),Vind: Stormig,Vento: Sovaĝa,Wind: Stormachtig,Furtuna,Vento: tempesta
RANDOMIZE_SETTINGS,Randomize settings,Náhodné nastavení,Zufällige Einstellungen,Aseta satunnaiset asetukset,Opciones aleatorias,Paramètres au hasard,,Aleatorizar opções,Slumpmässiga inställningar,Hazardigu la agordojn,Willekeurige instellingen,Setari aleatorii,Impostazioni casuali
SCORE_2,Score,Počet bodů,Punkte,Tulos,Puntos,Score,,Pontuação,Ställning,Poentaro,Score,Scor,Punteggio
HERRING_2,Herring,Ryba,Herringe,Silakoita,Arenques,Harengs,,Arenques,Sillar,Haringoj,Haring,Hering,Aringhe
TIME_2,Time,Čas,Zeit,Aika,Tiempo,Temps,,Tempo,Tid,Tempo,Tijd,Timp,Tempo
PATH_LENGTH,Path length,Délka trasy,Streckenlänge,Reitin pituus,Distancia recorrida,Longueur chemin,,Distância percorrida,Banlängd,Longeco de vojo,Padlengte,Lungime traseu,Lunghezza sentiero
AVERAGE_SPEED,Average speed,Průměrná rychlost,Durchschnittsgeschwindigkeit,Keskinopeus,Velocidad media,Vitesse moyenne,,Velocidade média,Medelhastighet,Meza rapideco,Gemiddelde snelheid,Viteza medie,Velocità media
POSITION,Position,Pozice,Platz,Sijoitus,Posición,Position,,,Placering,Pozicio,Positie,Locul,Posizione
IN_HIGHSCORE_LIST,in highscore list,na seznamu nejlepších výsledků,in der Punkteliste.,huipputuloslistalla,en la lista de récords,dans la liste des meilleur pointages,,º lugar na lista de Recordes,i topplistan,en la plejbon-listo,in hogeschorelijst,in lista celor mai mari scoruri.,nella lista dei punteggi migliori
AUTHOR,Author,Autor,Autor,Tekijä,Autor,Auteur(s),,Autor,Utvecklare,Aŭtoro,Auteur,Autor,Autore/i
LOADING_COURSES_FAILED,Loading courses failed.,,Abfahrten konnten nicht geladen werden.,Ratojen lataaminen epäonnistui.,Error al cargar circuitos.,Chargement courses échoué.,,Falha ao carregar circuitos.,Inläsning av banor misslyckades.,Ŝargo de kursoj malsukcesis.,Laden van parcours gefaald.,Atentie! Incarcarea curselor a esuat.,Caricamento gare fallito.
LOADING_CHARACTERS_FAILED,Loading characters failed.,,Charaktere konnten nicht geladen werden.,Hahmojen lataaminen epäonnistui.,Error al cargar personajes.,Chargement personnages échoué.,,Falha ao carregar personagens.,Inläsning av personligheter misslyckades.,Ŝargo de karakteroj malsukcesis.,Laden van karakters gefaald.,Atentie! Incarcarea personajelor a esuat.,Caricamento personaggi fallito.
LOADING_ENVIRONMENTS_FAILED,Loading environments failed.,,Umgebungsdaten konnten nicht geladen werden.,Ympäristöjen lataaminen epäonnistui.,Error al cargar entornos.,Chargement environnement échoué.,,Falha ao carregar cenários.,Inläsning av miljöer misslyckades.,Ŝargo de medioj malsukcesis.,Laden van omgevingen gefaald.,Atentie! Incarcarea mediilor a esuat.,Caricamento ambienti fallito.
LOADING_TERRAINS_FAILED,Loading terrains failed.,,Terrain konnten nicht geladen werden.,Maastojen lataaminen epäonnistui.,Error al cargar terrenos.,Chargement terrains échoué.,,Falha ao carregar terrenos.,Inläsning av terränger misslyckades,Ŝargo de terenoj malsukcesis.,Laden van terreinen gefaald.,Atentie! Incarcarea terenului a esuat.,Caricamento terreni fallito.
